url,score,lcp,tti,speedIndex,minimizeMainThreadWork,eliminateRenderBlockingResources,minimizeThirdPartyResourcesMs,minimizeThirdPartyResourcesBytes,efficientlyEncodeImages,serveNextGenImages,properlySizeImages,reduceUnusedCSS,minifyCSS,reduceUnusedJS,minifyJavaScript,enormousNetworkPayloads,greenHosting,CO2WithGreenHosting,CO2WithoutGreenHosting,server,frameworks,libraries,externalServices,cachingTechnologies,securityPractices,performanceOptimizations,backendTechnology
http://www.atelektrotechnik.at,44,4653,11236,5346,3754,496,927,2684189,0,345,0,660,0,645,0,2889238,0,1146,1141,-,-,-,Generic API Endpoint,,-,-,-
http://www.nowconsultians.at/,44,17301,17991,13787,4177,4229,488,1727717,0,519,0,883,0,7181,0,2875211,1,987,1142,Apache,LayerSlider,-,Generic API Endpoint,,-,-,WordPress
http://www.bma-law.com,44,14058,14100,9245,9956,0,12,517260,1275,2170,2310,0,0,3135,480,2673130,1,917,1083,Apache,LayerSlider,jQuery,-,-,-,-,WordPress
http://www.kraihammer.at,44,13788,10855,7703,2080,2753,48,427515,1330,4720,3395,330,0,170,0,2341585,0,929,929,nginx,WordPress,"Bootstrap, jQuery",-,-,-,-,WordPress
http://www.saintsavoy.com,44,15117,18904,8347,5087,572,158,856831,NaN,NaN,140,0,0,4725,140,1989753,1,683,789,Apache,WordPress,jQuery,-,-,-,-,WordPress
http://www.wienerimmobilien.at,44,5223,8031,4197,2088,277,156,283410,3390,4050,4085,235,0,2520,505,1902740,1,653,755,Apache,-,-,Generic API Endpoint,,-,-,-
http://www.ms-carbox.at,44,10625,6580,4906,1099,1798,47,185825,3385,5245,4120,225,0,380,0,1897130,0,753,753,Apache,-,"Bootstrap, jQuery",-,-,-,-,WordPress
http://www.veranstaltungsmanufaktur.at,44,5527,6387,3481,1882,1281,59,290289,0,0,835,300,0,2175,0,1661057,0,659,659,Apache,WordPress,jQuery,Generic API Endpoint,,strict-transport-security,-,WordPress
http://www.wienerschnitzlland.at,44,7737,6936,4705,1147,1059,0,49697,450,1500,0,300,0,0,0,1397730,0,554,554,Apache,-,jQuery,-,-,strict-transport-security,-,Joomla
http://www.schroepfmaster.at,44,11923,11373,8297,5029,0,594,547326,0,0,0,0,225,2330,0,1249512,0,495,498,nginx,WordPress,jQuery,Generic API Endpoint,,-,-,WordPress
